"c_resid,unit,nace_r2,geo\time"	2016	2017	2018	2019
"FOR,NR,I551-I553,EL"	"16,915,996"	"19,068,697"	"20,913,550"	"25,038,498"
"TOTAL,NR,I551-I553,EL"	"24,996,038"	"27,211,268"	"28,718,094"	"34,202,053"
				
"TOTAL,NR,I551-I553,ES"	"123,541,778"	"129,392,382"	"130,803,657"	"135,008,823"
"FOR,NR,I551-I553,ES"	"61,341,839"	"65,233,045"	"65,771,059"	"67,728,098"
