c_resid,unit,nace_r2,geo\time	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 
FOR,NR,I551-I553,SI	5085308 	4656825 	4680456 	5106452 	5702306 	5887862 	6004623 	6529086 	7252070 	8478019 	: 	11355675 
FOR,NR,I551-I553,SK	5144831 	3707327 	3749566 	3990300 	4039410 	4277598 	3852147 	4384800 	5038214 	5316945 	5558882 	6047674 
FOR,NR,I551-I553,TR	: 	: 	: 	: 	: 	89594261 	97581075 	96400316 	65793316 	: 	: 	: 
FOR,NR,I551-I553,UK	80393221 	79920519 	84610527 	87993917 	105455528 	: 	: 	275650028 	279453071 	: 	: 	: 
NAT,NR,I551-I553,AT	29978727 	30608853 	31356359 	31692337 	32382289 	32253827 	32341680 	33060945 	34558881 	35082222 	35935386 	36504339 
NAT,NR,I551-I553,BE	13611137 	13799364 	14128350 	14655977 	14834795 	14936459 	15536809 	19528328 	19792020 	20020465 	20755601 	21308009 
NAT,NR,I551-I553,BG	6391469 	5816078 	5592004 	6229338 	6800598 	7247048 	7620593 	8045535 	9035330 	8948529 	9096088 	9674945 
NAT,NR,I551-I553,CH	: 	: 	: 	: 	: 	: 	: 	: 	26414287 	: 	: 	: 
NAT,NR,I551-I553,CY	1171421 	1337006 	1352630 	1172135 	1088446 	895939 	830943 	824517 	844182 	834104 	916840 	1012569 
NAT,NR,I551-I553,CZ	19296452 	18915299 	18542864 	18810249 	21484472 	21163383 	20836817 	23807391 	25428808 	26962382 	28753901 	29844204 
NAT,NR,I551-I553,DE	267636330 	260021970 	265780765 	275939999 	282187922 	283679063 	291722145 	299220311 	308904957 	318051999 	332594428 	347694001 
NAT,NR,I551-I553,DK	19108832 	18192060 	18164955 	18719949 	18432111 	18586564 	19038780 	19637924 	20266251 	20243007 	20685784 	21349055 
NAT,NR,I551-I553,EA	1061031079 e	1005811050 	1087402849 e	1100908509 e	1083138872 	: 	1102080632 	1142416035 	1169763802 	1214954108 e	1239440797 e	1282991085 
NAT,NR,I551-I553,EE	1669550 	1381830 	1496959 	1650527 	1721498 	1824707 	1890165 	2011663 	2213547 	2358880 	2455763 	2591410 
NAT,NR,I551-I553,EL	17650614 	28568091 e	25889906 e	23210439 e	19512289 e	20112805 	20589198 	20900203 	22107192 	21974593 	20515937 	23623077 
NAT,NR,I551-I553,ES	151937093 	148002725 	151514295 	150489310 	139281970 	136764221 	144327228 	152808273 	160400822 	165292267 	165918083 	170722142 
NAT,NR,I551-I553,EU27_2007	1387377818 e	1340027517 	1388322298 e	1397638081 e	1447145933 	1444962761 e	1466424152 e	1516736344 	1564400461 	1632751297 e	1671230852 e	1731902156 e
NAT,NR,I551-I553,EU27_2020	1226544586 e	1161870294 	1242497965 e	1258962463 e	1254140891 	: 	1278406482 	1332604334 	1373256963 	1426560809 e	1461337686 e	1514835659 
NAT,NR,I551-I553,EU28	1390668561 e	1344154294 	1392058582 e	1401462055 e	1452249891 	1450002157 e	1471476482 e	1522392334 	1570159993 	1638669340 e	1677658632 e	1738956088 e
NAT,NR,I551-I553,FI	13963066 	13677332 	14242989 	14480403 	14514623 	14380610 	14075320 	14227773 	14572158 	15171320 	15392495 	16039663 
NAT,NR,I551-I553,FR	194048978 	195984460 	270832690 	277779224 	275487105 	275874900 	271406467 	279587890 	280850016 	299558737 	302038667 	310563771 
NAT,NR,I551-I553,HR	4629337 	4126777 	3774300 	3861788 	5103958 	5039396 	5052330 	5655990 	5759532 	5918043 	6427780 	7053932 
NAT,NR,I551-I553,HU	9964883 	9489598 	9672361 	9514575 	11777350 	12443265 	13702543 	14580503 	15489123 	16666938 	17489671 	17447388 
NAT,NR,I551-I553,IE	13338000 e	12723000 e	11786000 	10385000 	17045662 u	17414628 e	17889958 e	16247706 e	14915287 e	: 	: 	16295535 e
NAT,NR,I551-I553,IS	778603 	835853 	847747 	787964 	845336 	914433 	1085049 	930643 	1044289 	: 	: 	1089677 
NAT,NR,I551-I553,IT	211869278 	211268511 	210340052 	210420670 	200116495 	191992233 	190978299 	200249044 	203540299 	209970369 	212334391 	216076587 
NAT,NR,I551-I553,LI	15881 	17926 	16499 	18165 	4766 	2812 	2070 	2019 	3069 	3732 	3433 	3491 
NAT,NR,I551-I553,LT	1622510 	1152215 	1220810 	1383855 	3061204 	3182855 	3431178 	3570465 	3719254 	3933691 	4354797 	4804232 
NAT,NR,I551-I553,LU	182459 	180335 	142434 	179841 	245762 	324357 	354226 	323731 	317892 	318039 	345689 	347554 
NAT,NR,I551-I553,LV	1385445 	843549 	921768 	1037211 	1117643 	1135758 	1282484 	1236025 	1372065 	1544402 	1625773 	1658379 
NAT,NR,I551-I553,ME	: 	: 	: 	427105 	1008229 	: 	: 	747576 	721530 	431370 b	: 	: 
NAT,NR,I551-I553,MK	774717 	738875 	717455 	694483 	665207 	634951 	618865 	619060 	644167 	686100 	727607 	721216 
NAT,NR,I551-I553,MT	336426 	352312 	352539 	320108 	333808 	328740 	352733 	373242 	348753 	396167 	429040 	474950 
NAT,NR,I551-I553,NL	59184600 	59502400 	58073400 	57629400 	56204466 	64303624 b	65328010 	66236714 	66589317 	67528773 	69080031 	71692192 
NAT,NR,I551-I553,NO	20448582 	20501657 	20637311 	21230072 	21974364 	21617188 	22162724 	22739800 	23301585 	: 	: 	: 
NAT,NR,I551-I553,PL	46472281 	45410620 	45729839 	46527989 	50138291 	50488184 	53587348 	57476764 	63814635 	67175700 	71117812 	74659162 
NAT,NR,I551-I553,PT	19202121 	19340064 	19648921 	18997755 	17747121 	17809486 	19349092 	20522609 	22054931 	23150944 	24555272 	26002000 
NAT,NR,I551-I553,RO	17366737 	14657744 	13284554 	14912557 	15799875 	15830616 	16467780 	18985269 	20462599 	21647603 	23154660 	24620841 
NAT,NR,I551-I553,RS	: 	: 	: 	: 	4593058 	4489389 	3879642 	4217374 	4766970 	: 	: 	: 
NAT,NR,I551-I553,SE	35620762 	36073474 	36715303 	37078238 	37286517 	38267737 	40019659 	41998923 	43236883 	44044499 	45171193 	47195047 
NAT,NR,I551-I553,SI	3784840 	3899297 	3744285 	3753876 	3703703 	3583709 	3465829 	3695121 	3805661 	3982065 	: 	4403016 
NAT,NR,I551-I553,SK	7114284 	6545330 	6490913 	6425337 	6730918 	7068043 	6928868 	7791475 	8856568 	9350992 	9629258 	11177659 
NAT,NR,I551-I553,TR	: 	: 	: 	: 	: 	33090923 	32448842 	37480990 	46752171 	: 	: 	: 
NAT,NR,I551-I553,UK	171112440 	182284000 	149652604 	142596636 	198109000 	192985000 	: 	189788000 	196903030 	: 	: 	: 
TOTAL,NR,I551-I553,AT	104709683 	102833458 	103942335 	105339662 	109540720 	110687373 	110440776 	113365901 	117957253 	121126543 	125229170 	127890554 
TOTAL,NR,I551-I553,BE	29971839 	29250381 	30298026 	31379844 	31267441 	31448180 	32605681 	38380415 	36855214 	38677308 	41320284 	42512847 
