COUNTRY,2016 ,2017 ,2018 ,2019 
"FOR,NR,I551-I553,EL",87912850 ,97034421 ,102571241 ,119971390 
"FOR,NR,I551-I553,ES",294556428 ,305907462 ,301022634 ,299091409 
"TOTAL,NR,I551-I553,EL",110020042 ,119009014 ,123087178 ,143594467 
"TOTAL,NR,I551-I553,ES",454957250 ,471199729 ,466940717 ,469813551 
