COUNTRY,2016 ,2017 ,2018 ,2019 
"FOR,NR,I551-I553,EL",16915996 ,19068697 ,24320893 ,25038498 
"FOR,NR,I551-I553,ES",61341839 ,65233045 ,65771059 ,67728098 
"TOTAL,NR,I551-I553,EL",24996038 ,27211268 ,33585639 ,34202053 
"TOTAL,NR,I551-I553,ES",123541778 ,129392382 ,130803657 ,135008823 
