COUNTRY,2016 ,2017 ,2018 ,2019 
"FOR,NR,I551-I553,EL",16915996 ,19068697 ,20913550 ,25038498 
"FOR,NR,I551-I553,ES",61341839 ,65233045 ,65771059 ,67728098 
"NAT,NR,I551-I553,EL",8080042 ,8142571 ,7804544 ,9163555 
"NAT,NR,I551-I553,ES",62199939 ,64159337 ,65032598 ,67280725 
"TOTAL,NR,I551-I553,EL",24996038 ,27211268 ,28718094 ,34202053 
"TOTAL,NR,I551-I553,ES",123541778 ,129392382 ,130803657 ,135008823 
