COUNTRY,2016,2017,2018,2019
"FOR,NR,I551-I553,EL","87,912,850","97,034,421","102,571,241","119,971,390"
"FOR,NR,I551-I553,ES","294,556,428","305,907,462","301,022,634","299,091,409"
"TOTAL,NR,I551-I553,EL","110,020,042","119,009,014","123,087,178","143,594,467"
"TOTAL,NR,I551-I553,ES","454,957,250","471,199,729","466,940,717","469,813,551"
